iter	Passed	Remaining
0	49	49785
1	50	25311
2	51	17147
3	52	13045
4	53	10594
5	54	8953
6	54	7785
7	55	6907
8	56	6226
9	57	5691
10	58	5241
11	59	4871
12	59	4554
13	60	4282
14	61	4051
15	62	3845
16	63	3664
17	64	3501
18	65	3358
19	65	3225
20	66	3106
21	67	2999
22	68	2898
23	69	2807
24	69	2724
25	70	2647
26	71	2576
27	72	2509
28	73	2447
29	73	2390
30	74	2334
31	75	2282
32	76	2235
33	77	2192
34	77	2148
35	78	2107
36	79	2072
37	80	2037
38	81	2000
39	81	1964
40	82	1929
41	83	1897
42	83	1865
43	84	1835
44	85	1808
45	85	1781
46	86	1754
47	87	1732
48	88	1711
49	88	1686
50	89	1662
51	90	1641
52	90	1617
53	91	1595
54	91	1573
55	92	1551
56	92	1530
57	92	1509
58	93	1490
59	93	1471
60	94	1451
61	94	1432
62	95	1418
63	95	1400
64	96	1384
65	96	1368
66	97	1352
67	97	1334
68	97	1321
69	98	1309
70	99	1295
71	99	1280
72	99	1265
73	100	1251
74	100	1237
75	100	1223
76	100	1210
77	101	1198
78	101	1186
79	102	1176
80	102	1167
81	103	1158
82	103	1148
83	104	1138
84	104	1126
85	105	1115
86	105	1103
87	105	1093
88	105	1082
89	106	1072
90	106	1062
91	106	1051
92	106	1042
93	107	1032
94	107	1025
95	107	1016
96	108	1007
97	108	998
98	108	989
99	109	981
100	109	973
101	109	963
102	109	955
103	109	947
104	110	939
105	110	932
106	110	924
107	111	917
108	111	910
109	111	904
110	112	898
111	112	892
112	112	886
113	113	879
114	113	873
115	113	866
116	113	860
117	114	853
118	114	847
119	114	841
120	115	835
121	115	830
122	115	823
123	115	818
124	116	813
125	116	809
126	117	804
127	117	798
128	117	793
129	117	788
130	118	783
131	118	778
132	118	773
133	119	770
134	119	766
135	119	762
136	120	757
137	120	752
138	120	748
139	121	744
140	121	740
141	121	737
142	122	733
143	122	729
144	123	726
145	123	722
146	123	717
147	123	713
148	124	709
149	124	705
150	124	702
151	125	698
152	125	694
153	126	692
154	126	688
155	126	685
156	126	681
157	127	677
158	127	674
159	127	670
160	128	667
161	128	666
162	129	663
163	129	659
164	129	657
165	130	654
166	130	652
167	131	650
168	131	647
169	132	644
170	132	642
171	132	640
172	133	637
173	133	634
174	133	631
175	134	629
176	134	627
177	135	624
178	135	621
179	135	618
180	135	615
181	136	612
182	136	609
183	136	607
184	138	609
185	140	615
186	141	613
187	141	610
188	141	608
189	141	605
190	142	602
191	142	599
192	142	597
193	143	594
194	143	592
195	143	589
196	144	587
197	144	584
198	144	582
199	144	579
200	145	578
201	146	578
202	147	579
203	148	577
204	148	575
205	148	573
206	148	570
207	149	568
208	149	565
209	149	563
210	149	560
211	150	558
212	150	556
213	150	553
214	150	551
215	151	548
216	151	546
217	151	545
218	152	544
219	153	542
220	153	540
221	153	538
222	153	536
223	154	534
224	154	532
225	154	530
226	155	528
227	155	526
228	155	524
229	155	522
230	156	519
231	156	518
232	156	516
233	157	514
234	157	512
235	157	510
236	157	508
237	158	506
238	158	504
239	158	502
240	158	500
241	159	498
242	159	496
243	159	494
244	159	492
245	160	491
246	160	489
247	160	487
248	161	486
249	161	484
250	161	483
251	162	481
252	162	479
253	162	478
254	163	476
255	163	475
256	163	473
257	164	472
258	164	470
259	164	469
260	165	468
261	165	467
262	168	471
263	168	470
264	168	468
265	169	466
266	169	465
267	170	464
268	170	463
269	171	462
270	171	462
271	172	460
272	172	458
