iter	Passed	Remaining
0	51	51020
1	52	25958
2	53	17670
3	54	13624
4	55	11132
5	56	9429
6	57	8214
7	59	7330
8	60	6622
9	61	6059
10	63	5675
11	64	5284
12	65	5005
13	66	4717
14	68	4515
15	71	4386
16	72	4184
17	73	4031
18	75	3897
19	76	3750
20	77	3619
21	78	3495
22	79	3377
23	80	3273
24	81	3176
25	82	3083
26	84	3045
27	86	2999
28	87	2926
29	88	2859
30	89	2797
31	90	2739
32	91	2683
33	93	2655
34	95	2621
35	95	2567
36	96	2515
37	97	2467
38	98	2422
39	99	2382
40	100	2344
41	101	2306
42	102	2270
43	102	2234
44	103	2198
45	104	2164
46	105	2131
47	105	2099
48	106	2070
49	107	2047
50	108	2025
51	109	2001
52	110	1977
53	111	1952
54	112	1928
55	112	1903
56	113	1880
57	114	1857
58	115	1842
59	116	1824
60	117	1806
61	118	1789
62	119	1771
63	119	1753
64	120	1735
65	121	1718
66	122	1701
67	123	1686
68	123	1669
69	124	1652
70	125	1636
71	125	1620
72	126	1605
73	127	1590
74	127	1574
75	128	1560
76	128	1545
77	129	1530
78	130	1516
79	130	1504
80	131	1490
81	132	1478
82	132	1461
83	132	1448
84	133	1435
85	134	1425
86	134	1412
87	135	1400
88	135	1388
89	136	1376
90	136	1364
91	137	1352
92	137	1342
93	138	1331
94	138	1320
95	139	1310
96	139	1299
97	140	1289
98	140	1279
99	141	1270
100	141	1260
101	141	1250
102	142	1240
103	142	1230
104	143	1221
105	143	1211
106	144	1202
107	144	1193
108	144	1184
109	145	1175
110	145	1167
111	146	1159
112	146	1151
113	147	1142
114	147	1134
115	147	1126
116	148	1118
117	148	1110
118	148	1102
119	149	1094
120	149	1086
121	149	1078
122	150	1070
123	150	1063
124	150	1056
125	151	1049
126	151	1041
127	151	1034
128	152	1028
129	152	1022
130	153	1015
131	154	1014
132	155	1014
133	156	1009
134	156	1004
135	157	998
136	157	993
137	158	987
138	158	981
139	158	975
140	159	969
141	159	963
142	159	958
143	160	953
144	160	948
145	161	942
146	161	938
147	162	933
148	162	928
149	163	923
150	163	919
151	163	914
152	164	909
153	164	905
154	165	902
155	165	897
156	166	893
157	167	890
158	168	890
159	169	890
160	170	887
161	170	884
162	171	880
163	172	877
164	172	873
165	173	869
166	173	866
167	174	864
168	175	861
169	175	856
170	177	861
171	178	857
172	179	855
173	179	852
174	180	848
175	180	844
176	180	840
177	181	836
178	181	832
179	181	828
180	182	824
181	182	820
182	182	816
183	183	812
184	183	809
185	184	805
186	184	802
187	185	799
188	185	796
189	186	793
190	186	790
191	186	786
192	187	783
193	187	779
194	188	776
195	188	773
196	188	769
197	189	766
198	189	762
199	189	759
200	190	756
201	190	754
202	191	753
203	192	750
204	192	748
205	193	745
206	193	742
207	194	739
208	194	736
209	195	733
210	195	731
211	195	728
212	196	725
213	196	723
214	197	720
215	197	717
216	197	714
217	198	711
218	198	708
219	199	705
220	199	703
221	200	701
222	200	698
223	200	695
224	201	694
225	201	691
226	202	688
227	202	686
228	203	683
229	203	681
230	203	678
231	204	675
232	204	672
233	204	670
234	205	667
235	205	664
236	205	662
237	206	659
238	206	657
239	206	655
240	207	654
241	208	652
242	208	650
243	209	647
244	209	645
245	209	643
246	210	641
247	210	638
248	210	636
